Event Id,Event Type,Event Title,Start Time,End Time,Precision,Count,First Published Time,Last Published Time,Sample Fragment,Entities,Locations,Source Count,Positive Sentiment,Negative Sentiment
GdSK-OZhMA0,Acquisition,"Apple acquired Beats Electronics",2014-05-09T00:00:00.000Z,2014-05-09T23:59:59.000Z,day,2764,2014-05-29T14:42:59.000Z,2014-05-29T14:42:59.000Z,"FILE - In this May 9, 2014 file photo, Beats Audio...Apple is buying more flair, swagger and song-picking savvy with its $3 billion acquisition of Beats Electronics, a headphone and music streaming specialist","Apple; Beats Electronics","",10,158.7926,55.5523
Bsl_rMTw36E,Acquisition,"Apple acquired Beats Electronics",2014-05-09T00:00:00.000Z,2014-05-09T23:59:59.000Z,day,1655,2014-06-02T03:14:40.000Z,2014-06-02T03:14:40.000Z,"&#64;tehlatimes Apple near deal to buy Beats Electronics for $3.2 billion -  Apple Inc. is...","Apple; Beats Electronics","",10,126.8101,17.5925
F-_LSkHNQuM,Acquisition,"Apple acquired Beats Electronics",2014-05-28T00:00:00.000Z,2014-05-28T23:59:59.000Z,day,1485,2014-06-02T14:14:33.000Z,2014-06-02T14:14:33.000Z,"Apple ( AAPL ) announced on May 28 that it has agreed to buy subscription streaming music service Beats Music and Beats Electronics, which makes headphones,","Apple; Beats Electronics","",10,56.0056,18.0633
G3-CkEOR3aI,Acquisition,"Apple acquired Beats Electronics",2014-05-29T00:00:00.000Z,2014-05-29T23:59:59.000Z,day,1339,2014-06-01T16:33:13.000Z,2014-06-01T16:33:13.000Z,"&#64;shadinkululeko “&#64;AppleBeatsByDre: Apple Inc. bought Beats By Dre, costing the multibillion dollars company $3 billion to merge with &#64;beatsbydre.”","Apple; Beats Electronics","",10,85.3787,32.0149
H3e-0zGw1QY,Acquisition,"Apple acquired Beats Electronics",2014-05-29T00:00:00.000Z,2014-05-29T23:59:59.000Z,day,1003,2014-06-01T17:19:20.000Z,2014-06-01T17:19:20.000Z,"Related articles: Apple paying under $500 million for Beats Music streaming service - May 30, 2014 With Beats, Apple has its next iPod - May 29, 2014 Jimmy Iovine: Apple&#39;s","Apple; Beats Electronics","",10,26.5496,15.564
EdshDVELnU0,BusinessTransactionText,"Business Transaction",2014-05-30T00:00:00.000Z,2014-05-30T23:59:59.000Z,day,991,2014-06-02T13:09:04.000Z,2014-06-02T13:09:04.000Z,"&#64;akardell At this rate, Elon should colonize Mars by Friday....In the past day Google announced a car, Intel launched a robot, and Apple bought Beats.","Apple","",2,0,0
pZroCtGHX4,Organization Relationship,"Amazon.com and Apple",2014-05-08T00:00:00.000Z,2014-05-08T23:59:59.000Z,day,917,2014-06-01T21:43:24.000Z,2014-06-01T21:43:24.000Z,"&#64;cellphone_roxy Amazon Deal of the day: Save $157 on Apple iPhone 5 16GB (White) - Unlocked http://t.co/1O2hUpYyPb.","Amazon.com; Apple","",2,0,0.5806
HshlsQdVRtY,Announcement,"Announcement",2014-05-17T00:00:00.000Z,2014-05-17T23:59:59.000Z,day,761,2014-05-30T11:15:17.000Z,2014-05-30T11:15:17.000Z,"&#64;rachelmarshall Apple and Google declare patent truce, will dismiss all current lawsuits http://t.co/YtyvWG9weh on &#64;GigaOm by &#64;jeffjohnroberts.","Apple","",10,14.535,3.3785
Fdkd8qtF634,Announcement,"Announcement",2014-05-28T00:00:00.000Z,2014-05-28T23:59:59.000Z,day,717,2014-06-02T14:14:33.000Z,2014-06-02T14:14:33.000Z,"Apple ( AAPL ) announced on May 28 that it has agreed to buy subscription streaming music service Beats Music and Beats Electronics, which makes headphones,","Apple","",10,61.3865,25.0289
C_5-08N-zL8,Acquisition,"Apple acquired Beats Electronics",2014-05-08T00:00:00.000Z,2014-05-08T23:59:59.000Z,day,568,2014-05-29T18:26:46.000Z,2014-05-29T18:26:46.000Z,"- Apple in talks to buy Beats Electronics for $3.2 billion MacDailyNews Take, May 8, 2014.","Apple; Beats Electronics","",10,11.7707,4.0913
VR696irzM4,Acquisition,"Apple acquired Beats Electronics",2014-05-28T00:00:00.000Z,2014-05-28T23:59:59.000Z,day,508,2014-06-02T11:45:02.000Z,2014-06-02T11:45:02.000Z,"Apple on Wednesday confirmed it is buying Beats for $3 billion.","Apple; Beats Electronics","",10,19.5406,2.614
HWbme3YUx-0,Acquisition,"Yahoo acquired Blink",2014-05-14T00:00:00.000Z,2014-05-14T23:59:59.000Z,day,3116,2014-05-30T07:05:07.000Z,2014-05-30T07:05:07.000Z,"&#64;diosdelam Yahoo compra Blink, una App de mensajería instantánea efímera http://t.co/DLUR7Vqb9E.","Yahoo; Blink","",10,11.7816,13.4304
DRB0k7-YfwY,BusinessTransactionText,"Business Transaction",2014-05-14T00:00:00.000Z,2014-05-14T23:59:59.000Z,day,2079,2014-06-02T09:10:20.000Z,2014-06-02T09:10:20.000Z,"&#64;drobushevskayay Yahoo! купила мессенджер Blink с самоуничтожающимися сообщениями: Yahoo! купила стартап Blink, выпускающий мобильный мессенджер с соо...","Yahoo","",4,0,0
F11CmOd4baw,BusinessTransactionText,"Business Transaction",2014-05-14T00:00:00.000Z,2014-05-14T23:59:59.000Z,day,1924,2014-05-29T14:03:53.000Z,2014-05-29T14:03:53.000Z,"&#64;xgaehmve48 Yahoo buys mobile messaging app Blink.","Yahoo","",10,38.7114,6.7042
Go2E2uBj6nI,BusinessTransactionText,"Business Transaction",2014-05-14T00:00:00.000Z,2014-05-14T23:59:59.000Z,day,1129,2014-05-27T17:12:39.000Z,2014-05-27T17:12:39.000Z,"&#64;paraguayway Yahoo compra Blink, la ‘app’ de mensajes que se autodestruyen http://t.co/POoihxWc9O.","Yahoo","",10,1.86,3.9501
ClbPzYcqzWU,BusinessTransactionText,"Business Transaction",2014-05-14T00:00:00.000Z,2014-05-14T23:59:59.000Z,day,1105,2014-05-19T15:02:09.000Z,2014-05-19T15:02:09.000Z,"&#64;mktingmedia Yahoo! compra empresa de mensajería móvil Blink http://t.co/nf3CnjMxOH.","Yahoo","",10,0,12.8601
CP9X7eGfo3k,BusinessTransactionText,"Business Transaction",2014-05-14T00:00:00.000Z,2014-05-14T23:59:59.000Z,day,1062,2014-05-30T16:27:37.000Z,2014-05-30T16:27:37.000Z,"&#64;net4tech Yahoo acquires Meh Labs to strengthen its presence on mobile http://t.co/qnjL3r5jPk.","Yahoo","",10,54.8363,1.7214
H_3MS38z8J8,BusinessTransactionText,"Business Transaction",2014-05-13T00:00:00.000Z,2014-05-13T23:59:59.000Z,day,863,2014-06-02T02:25:20.000Z,2014-06-02T02:25:20.000Z,"&#64;tjstartups Yahoo acquires mobile messaging App blink, will shut down app in weeks : http://t.co/bswfehlnct.","Yahoo","",6,4.6182,0
CW783mlAh1c,BusinessTransactionText,"Business Transaction",2014-05-14T00:00:00.000Z,2014-05-14T23:59:59.000Z,day,860,2014-05-29T13:00:14.000Z,2014-05-29T13:00:14.000Z,"&#64;superandroides Yahoo compra Blink!, una aplicación de mensajes autodestruibles  - #Android #App  http://t.co/pXCMN6nz9M.","Yahoo","",10,8.0316,2.5886
ClCnNTCrigA,BusinessTransactionText,"Business Transaction",2014-05-14T00:00:00.000Z,2014-05-14T23:59:59.000Z,day,800,2014-05-23T23:28:09.000Z,2014-05-23T23:28:09.000Z,"&#64;snapchatusersuk #Yahoo buys #Snapchat rival.","Yahoo","",10,1.4993,0.3
okGXDg8uD4,Acquisition,"Blink acquired Yahoo",2014-05-14T00:00:00.000Z,2014-05-14T23:59:59.000Z,day,663,2014-05-18T02:26:01.000Z,2014-05-18T02:26:01.000Z,"&#64;tecnogurues Conoce Blink, la aplicación de mensajería secreta que acaba de comprar Yahoo #Tip #Tecno http://t.co/yvuZ7MtJEv.","Yahoo; Blink","",3,0,253.106
C9wZsIExjT8,BusinessTransactionText,"Business Transaction",2014-05-14T00:00:00.000Z,2014-05-14T23:59:59.000Z,day,643,2014-06-01T16:01:45.000Z,2014-06-01T16:01:45.000Z,"&#64;lasangelestimes Yahoo buys propeld, its third mobile startup in Four Months (yhoo) -  geekwiremaria zhang, #Ceo,...","Yahoo","",10,1.6782,27.291
H_taEV0aizw,BusinessTransactionText,"Business Transaction",2014-05-13T00:00:00.000Z,2014-05-13T23:59:59.000Z,day,639,2014-05-14T04:01:27.000Z,2014-05-14T04:01:27.000Z,"&#64;allygmorrison $athn &#39;mad money&#39; lightning round: don&#39;t sell yahoo!","Yahoo","",7,0,0
BecIQIp4x_Q,Protest,"Protest in Tehran",2014-05-20T00:00:00.000Z,2014-05-20T23:59:59.000Z,day,603,2014-06-02T04:38:25.000Z,2014-06-02T04:38:25.000Z,"&#64;nadersy325 Tehran merchants stage protest gathering http://t.co/Ab3HpUt0nD  http://t.co/NHd6zsJBZ1 #torture #Yahoo #all4freedom #iran #irantalks.","Yahoo; Tehran","Tehran",1,0,0
pMFInhAbCk,Announcement,"Announcement",2014-05-20T00:00:00.000Z,2014-05-20T23:59:59.000Z,day,2214,2014-05-31T16:52:35.000Z,2014-05-31T16:52:35.000Z,"Surface Mini device at an press event on May 20th....But, it never happened as Microsoft chose to announce only the Surface Pro 3 device.","Microsoft","",10,46.2628,17.4184
C5OvNo_2Xss,Organization Relationship,"Microsoft and Salesforce.com",2014-05-29T00:00:00.000Z,2014-05-29T23:59:59.000Z,day,1690,2014-06-02T14:27:53.000Z,2014-06-02T14:27:53.000Z,"&#64;coakleyjamie Microsoft and Salesforce announce broad product-integration partnership  &#64;Techcrunch http://t.co/zzi7mrnxui.","Microsoft; Salesforce.com","",10,21.2439,1.6313
Bxvp4BAw07c,Acquisition,"Microsoft acquired Clippers",2014-05-29T00:00:00.000Z,2014-05-29T23:59:59.000Z,day,1266,2014-06-01T07:49:57.000Z,2014-06-01T07:49:57.000Z,"&#64;benditzemachine So our former Microsoft CEO Steve Ballmer bought the Clippers.","Microsoft; Clippers","",5,1.1903,5.3116
ElQWPkjRVk0,Organization Relationship,"Amazon.com and Microsoft",2014-05-07T00:00:00.000Z,2014-05-07T23:59:59.000Z,day,1180,2014-05-30T23:51:52.000Z,2014-05-30T23:51:52.000Z,"&#64;tekchronicles Check out this Amazon deal: Ryse: Son of Rome by Microsoft http://t.co/dFu7mPeXDc via &#64;amazon.","Microsoft; Amazon.com","",5,1.713,0
Ea5BrGiGg9U,Announcement,"Announcement",2014-05-13T00:00:00.000Z,2014-05-13T23:59:59.000Z,day,985,2014-05-30T14:00:23.000Z,2014-05-30T14:00:23.000Z,"&#64;susconvos #ICT: #Microsoft and its partners announce new affordable access projects in four continents http://t.co/ENS3N9WJw3.","Microsoft","",10,56.3577,22.99
Cfo1nRmPhgc,Announcement,"Announcement",2014-05-29T00:00:00.000Z,2014-05-29T23:59:59.000Z,day,954,2014-06-02T14:27:53.000Z,2014-06-02T14:27:53.000Z,"&#64;coakleyjamie Microsoft and Salesforce announce broad product-integration partnership  &#64;Techcrunch http://t.co/zzi7mrnxui.","Microsoft","",10,25.0852,2.6345
F0--ZpVA7Xc,Announcement,"Announcement",2014-05-19T00:00:00.000Z,2014-05-19T23:59:59.000Z,day,939,2014-05-30T23:49:04.000Z,2014-05-30T23:49:04.000Z,"&#64;jesuisduqc Microsoft and SAP announce a partnership that gives Microsoft a nice win against Amazon&#39;s cloud http://t.co/WiyAbwbqda.","Microsoft","",10,196.7205,22.1047
B3K7Ghh-j8U,Announcement,"Announcement",2014-05-21T00:00:00.000Z,2014-05-21T23:59:59.000Z,day,895,2014-06-01T05:00:35.000Z,2014-06-01T05:00:35.000Z,"&#64;sudhindrakanago Microsoft announces its largest cloud #education partnership in #Thailand http://t.co/G0sL9O31Hv #MSFTEDU #EdTech http://t.co/CuUc2FUVa1.","Microsoft","",10,15.2983,9.4184
EuIcO-oR29I,Organization Relationship,"Microsoft and Salesforce.com",2014-05-30T00:00:00.000Z,2014-05-30T23:59:59.000Z,day,814,2014-06-02T14:11:12.000Z,2014-06-02T14:11:12.000Z,"&#64;cfxindonesia Microsoft and Salesforce bind SQL deal and Office 365 integration http://t.co/XH0AuAvqMD.","Microsoft; Salesforce.com","",10,21.2187,4.297
uwzeJ2frR8,Organization Relationship,"Salesforce.com and Microsoft",2014-05-29T00:00:00.000Z,2014-05-29T23:59:59.000Z,day,700,2014-06-02T13:37:08.000Z,2014-06-02T13:37:08.000Z,"&#64;tobiasjohanss11 Salesforce is excited to announce a new, global, strategic partnership with Microsoft http://t.co/E8jbrIXjeC http://t.co/AW0VpElUF6.","Microsoft; Salesforce.com","",10,60.8539,6.8058
FDwCaDU3Mlc,Organization Relationship,"Microsoft and SAP AG",2014-05-19T00:00:00.000Z,2014-05-19T23:59:59.000Z,day,597,2014-05-30T23:49:04.000Z,2014-05-30T23:49:04.000Z,"&#64;jesuisduqc Microsoft and SAP announce a partnership that gives Microsoft a nice win against Amazon&#39;s cloud http://t.co/WiyAbwbqda.","Microsoft; SAP AG","",10,132.881,14.5875
GoUv7lEvp0c,BusinessTransactionText,"Business Transaction",2014-05-08T00:00:00.000Z,2014-05-08T23:59:59.000Z,day,585,2014-06-02T12:22:50.000Z,2014-06-02T12:22:50.000Z,"&#64;maritesgalleral Bill Gates hints that Microsoft could sell off its Xbox division - ExtremeTech http://t.co/fPkta34Tie #steambox.","Microsoft","",4,0.75,0
EYoNrLWQqBA,Acquisition,"Microsoft acquired Los Angeles Clippers",2014-05-30T00:00:00.000Z,2014-05-30T23:59:59.000Z,day,570,2014-05-31T10:55:46.000Z,2014-05-31T10:55:46.000Z,"The NBA has approved former Microsoft CEO Steve Ballmer&#39;s $2 billion bid to buy the Los Angeles Clippers, the league said in a statement Friday night.","Microsoft; Los Angeles Clippers","",10,16.3336,3.9954
GGBCppW3sPc,Announcement,"Announcement",2014-05-30T00:00:00.000Z,2014-05-30T23:59:59.000Z,day,2356,2014-06-02T14:04:05.000Z,2014-06-02T14:04:05.000Z,"&#64;jasoneng_ Report: Google to announce android tv http://t.co/ya04nwj0yh.","Google","",10,12.8859,19.892
CxYwFQrb4lI,Organization Relationship,"Apple and Google",2014-05-17T00:00:00.000Z,2014-05-17T23:59:59.000Z,day,852,2014-05-31T16:24:30.000Z,2014-05-31T16:24:30.000Z,"&#64;cuckedn Apple, Google, agree to drop patent infringement dispute.","Google; Apple","",10,54.0531,165.5456
FbZI1DKivnc,BusinessTransactionText,"Business Transaction",2014-05-19T00:00:00.000Z,2014-05-19T23:59:59.000Z,day,832,2014-06-01T20:39:45.000Z,2014-06-01T20:39:45.000Z,"&#64;arockiasinc Google bought one of the hottest enterprise android startups http://t.co/gejeueoch9 via &#64;bi_enterprise.","Google","",9,43.7418,12.0816
F1ozZEP5dgo,Announcement,"Announcement",2014-05-17T00:00:00.000Z,2014-05-17T23:59:59.000Z,day,799,2014-05-30T11:15:17.000Z,2014-05-30T11:15:17.000Z,"&#64;rachelmarshall Apple and Google declare patent truce, will dismiss all current lawsuits http://t.co/YtyvWG9weh on &#64;GigaOm by &#64;jeffjohnroberts.","Google","",10,5.5176,8.487
BzCcS3FAvlg,Acquisition,"Google was involved in an acquisition",2014-05-19T00:00:00.000Z,2014-05-19T23:59:59.000Z,day,747,2014-05-26T15:50:13.000Z,2014-05-26T15:50:13.000Z,"&#64;gpsbusinessnews Google reportedly in talks to acquire skybox imaging http://t.co/rh0ipmukdh.","Google","",10,51.0278,4.1142
Hf2NhlIJ2jo,Announcement,"Announcement",2014-05-22T00:00:00.000Z,2014-05-22T23:59:59.000Z,day,740,2014-05-28T15:06:14.000Z,2014-05-28T15:06:14.000Z,"&#64;givethru Google to announce finalists for bay area impact challenge http://t.co/pps8zg7irp #bayareachallenge.","Google","",10,8.6334,0.9474
B1PucA7IQTM,Business Relation,"Business Relation",2014-05-17T00:00:00.000Z,2014-05-17T23:59:59.000Z,day,723,2014-05-19T21:41:50.000Z,2014-05-19T21:41:50.000Z,"Related article: Apple and Google agree to drop some old Motorola patent infringement lawsuits - May 17, 2014.","Google","",10,17.7598,17.0013
H8Rc5wveicE,Press Release,"Press release from Google",2014-05-07T00:00:00.000Z,2014-05-07T23:59:59.000Z,day,690,2014-05-10T11:31:57.000Z,2014-05-10T11:31:57.000Z,"微博 ) 和Android侵犯Java专利权的旷日持久的诉讼战中&#xff0c;美国法院日前出乎意料地判定甲骨文胜诉。...谷歌向Business Insider发来了这样一份声明&#xff1a;","Google","",3,0,0.3462
Et-nFCrR_Ew,BusinessTransactionText,"Business Transaction",2014-05-16T00:00:00.000Z,2014-05-16T23:59:59.000Z,day,669,2014-05-28T20:40:29.000Z,2014-05-28T20:40:29.000Z,"&#64;bluehatofficial Google has acquired quest visual, the maker of camera-based translation App word lens.","Google","",4,1.8274,0
GCqYIwweaIs,Announcement,"Announcement",2014-05-15T00:00:00.000Z,2014-05-15T23:59:59.000Z,day,657,2014-05-29T11:57:11.000Z,2014-05-29T11:57:11.000Z,"&#64;redrockwets BRIEF-Samsung, Google announce global patent agreement.","Google","",10,15.6771,6.5505
BTObk1ipJ6o,Organization Relationship,"Google and Apple",2014-05-17T00:00:00.000Z,2014-05-17T23:59:59.000Z,day,605,2014-05-30T14:53:09.000Z,2014-05-30T14:53:09.000Z,"&#64;truesonexteriro Google, Apple settle longstanding patent dispute.","Google; Apple","",10,1.6591,0.5377
Gu5hHvxCH_V,Announcement,"Announcement",2014-06-01T00:00:00.000Z,2014-06-30T23:59:59.000Z,month,60,2014-06-02T14:37:47.000Z,2014-06-02T14:37:47.000Z,"&#64;timolsonsf Google to announce Android TV in June http://t.co/EtNAVhOGfM.","Google","",10,4.9209,3.245
GbJFFyoa6d8,Acquisition,"Google was involved in an acquisition",2014-05-30T00:00:00.000Z,2014-05-30T23:59:59.000Z,day,524,2014-06-02T08:05:06.000Z,2014-06-02T08:05:06.000Z,"&#64;namelessdigital After Google bought Nest, it removed one of the company’s biggest competitors from search results.","Google","",10,11.9312,3.9693
BR689wAli9k,Stock Split,"Stock Split",2014-06-09T00:00:00.000Z,2014-06-09T23:59:59.000Z,day,43,2014-06-02T14:41:30.000Z,2014-06-02T14:41:30.000Z,"split-adjusted shares will begin trading on June 9....Also of note is Apple&#39;s upcoming 7-for-1 stock split .","Apple","",10,2.4828,0
DQD-Jedn8Vk,Announcement,"Announcement",2014-06-09T00:00:00.000Z,2014-06-09T23:59:59.000Z,day,37,2014-05-23T16:02:13.000Z,2014-05-23T16:02:13.000Z,"The date: Keynote, June 2; 7-1 stock split, June 9....• Apple hasn&#39;t yet announced the content of dozens and dozens of WWDC sessions.","Apple","",10,0.2571,0.5786
DiYee98Gj-E,Announcement,"Announcement",2014-06-20T00:00:00.000Z,2014-06-30T23:59:59.000Z,day,2,2014-05-13T07:55:37.000Z,2014-05-13T07:55:37.000Z,"electronics contract makers including Foxconn and Pegatron have also been notified by Apple to start their assembly lines for the new handsets likely around late June, said the mass-circulation","Apple","",10,0,0
C4J1XmWQG0Q,Organization Relationship,"Hon Hai Precision Industry Co Ltd and Apple",2014-06-20T00:00:00.000Z,2014-06-30T23:59:59.000Z,day,2,2014-05-13T07:55:37.000Z,2014-05-13T07:55:37.000Z,"Taiwanese electronics contract makers including Foxconn and Pegatron have also been notified by Apple to start their assembly lines for the new handsets likely around late June, said the mass-circulation","Apple; Hon Hai Precision Industry Co Ltd","",10,0,0
FNzv9hMM6SZ,Company Earnings Guidance,"Earnings Guidance",2014-07-01T00:00:00.000Z,2014-09-30T23:59:59.000Z,month,1,2014-04-24T17:39:55.000Z,2014-04-24T17:39:55.000Z,"For Q3, Apple is projecting revenue of $36 billion to $38 billion, and a gross margin of 37% to 38%.","Apple","",10,0,1.3031
FbT-oM40HR,QuotationText,"Tom Neumayr says Apple did not conspire to fix e-book pricing",2014-07-01T00:00:00.000Z,2014-07-31T23:59:59.000Z,month,2,2013-09-08T02:45:33.000Z,2013-09-08T02:45:33.000Z,"Neumayr says the company will appeal the July decision....He says Apple did not conspire to fix e-book pricing.","Apple; e-book; Tom Neumayr","",10,0,20.0769
HMz8lgj6k0k,Organization Relationship,"Pegatron and Apple",2014-06-20T00:00:00.000Z,2014-06-30T23:59:59.000Z,day,2,2014-05-13T07:55:37.000Z,2014-05-13T07:55:37.000Z,"Taiwanese electronics contract makers including Foxconn and Pegatron have also been notified by Apple to start their assembly lines for the new handsets likely around late June, said the mass-circulation","Apple; Pegatron","",10,0,0
HSAytfaFIvw,Announcement,"Announcement",2014-06-10T00:00:00.000Z,2014-06-10T23:59:59.000Z,day,24,2014-06-01T20:33:11.000Z,2014-06-01T20:33:11.000Z,"WWDC 2013 Kicks Off on June 10, Tickets Go On Sale Tomorrow....Apple Officially Announces $3 Billion Acquisition of Beats, Finally.","Apple","",10,0,0
FrtiOnjLu3F,Buybacks,"Buybacks",2014-07-01T00:00:00.000Z,2014-09-30T23:59:59.000Z,month,1,2014-05-19T04:39:22.000Z,2014-05-19T04:39:22.000Z,"not even pay out more in total dividends during fiscal Q3 than the year ago period, but I also fairly stated that Apple chose to go the buyback route.","Apple","",10,3.6448,1.0588
FULf3xC88eJ,Announcement,"Announcement",2014-07-01T00:00:00.000Z,2014-09-30T23:59:59.000Z,month,1,2014-05-06T13:08:00.000Z,2014-05-06T13:08:00.000Z,"The real tell will be when Apple announces its third quarter numbers.","Apple","",10,3.36,0.75
FHCl6zAXgfJ,Company Legal Issues,"Legal Issues",2014-07-01T00:00:00.000Z,2014-07-31T23:59:59.000Z,month,1,2014-05-31T04:20:15.000Z,2014-05-31T04:20:15.000Z,"A U.S. appeals court on Thursday rejected Apple Inc&#39;s bid to delay a July trial to determine damages after the company was found to have colluded to fix","Apple","",9,0,0.4045
C757Lo0cM3E,CyberAttack,"Cyber attack",2014-06-10T00:00:00.000Z,2014-06-10T23:59:59.000Z,day,15,2014-05-30T11:28:00.001Z,2014-05-30T11:28:00.001Z,"Mini on Japanese Carrier NTT DOCOMO Starting June 10....• Apple Denies iCloud Hack as Cause of Locked iOS Device Ransom Demands.","Apple","",2,0,9.6429
GE4u15nYxQ8,QuotationText,"Gene Munster says We note that WWDC is scheduled to start June 10 this year; thus it could mark the next most likely time for an updated Apple TV box",2014-06-10T00:00:00.000Z,2014-06-10T23:59:59.000Z,day,14,2014-04-08T14:39:01.000Z,2014-04-08T14:39:01.000Z,"We note that WWDC is scheduled to start June 10 this year; thus it could mark the next most likely time for an updated Apple TV box,&#34; said Gene Munster","Apple; Gene Munster; Worldwide Developers Conference","",4,0,0
Hruiooh0l05,Announcement,"Announcement",2014-07-01T00:00:00.000Z,2014-07-31T23:59:59.000Z,month,6,2014-05-15T17:29:34.000Z,2014-05-15T17:29:34.000Z,"Yahoo announced a similar change in its privacy policy in July.","Yahoo","",10,0,11.0018
HD83zTFQS65,Company Reorganization,"Reorganization",2014-07-01T00:00:00.000Z,2014-07-31T23:59:59.000Z,month,2,2014-02-10T00:09:22.000Z,2014-02-10T00:09:22.000Z,"Yahoo said it planned to shut its Rolle office by July.","Yahoo","",10,0,0
Djds3kGqyZg,Announcement,"Announcement",2014-06-25T00:00:00.000Z,2014-06-25T23:59:59.000Z,day,18,2014-05-14T10:37:54.000Z,2014-05-14T10:37:54.000Z,"company&#39;s annual meeting of shareholders on June 25....Yahoo nominates Jane Shaw, Ph.D. to board Yahoo! Inc. announced the nomination of Dr. Jane E. Shaw to the company&#39;s board.","Yahoo","",3,0,0
CKXAuHOqKLg,Organization Relationship,"Yahoo and Jazz",2014-06-30T00:00:00.000Z,2014-06-30T23:59:59.000Z,day,7,2014-04-07T15:30:34.000Z,2014-04-07T15:30:34.000Z,"&#64;benkfan Yahoo on Jazz Coaching Staff contracts, despite ending on June 30th: &#34;They expect to learn their fate by the end of April, a source said.&#34;.","Yahoo; Jazz","",1,0,0
HqUEru59FUg,QuotationText,"Marissa Mayer says I 'm delighted at the prospect of Dr. Shaw joining the Yahoo board ,",2014-06-25T00:00:00.000Z,2014-06-25T23:59:59.000Z,day,4,2014-04-30T23:36:18.213Z,2014-04-30T23:36:18.213Z,"Jr, at the annual meeting of shareholders on June 25....&#34;I&#39;m delighted at the prospect of Shaw joining the Yahoo board,&#34; said Marissa Mayer, CEO of Yahoo.","Yahoo; Marissa Mayer; Jane Shaw","",2,1.5326,0
EjAk1Qm0nrY,Protest,"Protest in Singapore",2014-06-07T00:00:00.000Z,2014-06-07T23:59:59.000Z,day,3,2014-06-02T09:09:40.000Z,2014-06-02T09:09:40.000Z,"&#64;scoo_ps (yahoo) Activists in Singapore will protest CPF system on 7 June http://t.co/aIPGXPsQEy.","Singapore; Yahoo; CPF","Singapore",1,0,0
E1gk1kjZCCN,QuotationText,"Jordan Rohan says It's not just about their price in the market, which of course can swing based on the market's appetite for risk; Rather, I'm also pointing to earnings-related outperformance, or in the case of Yahoo!, a really easy-to-identify catalyst in the Alibaba IPO, which I still think will happen without a hitch in the third quarter. Therefore, I think investors are going to be forced to recalculate how cheap these companies are. They're essentially cheaper than they were a year ago.",2014-07-01T00:00:00.000Z,2014-09-30T23:59:59.000Z,month,1,2014-04-09T12:46:22.000Z,2014-04-09T12:46:22.000Z,"think will happen without a hitch in the third quarter....identify catalyst in the Alibaba IPO, which I still think will happen without a hitch in the third quarter. Therefore, I think investors are going to be","Yahoo; IPO; Alibaba; Jordan Rohan","",3,0,0
GOmzfgFz4Es,Protest,"Protest",2014-06-07T00:00:00.000Z,2014-06-07T23:59:59.000Z,day,3,2014-06-02T09:09:40.000Z,2014-06-02T09:09:40.000Z,"&#64;scoo_ps (yahoo) Activists in Singapore will protest CPF system on 7 June http://t.co/aIPGXPsQEy.","Yahoo; CPF","",1,0,0
N0If6PDfzV,Organization Relationship,"Yahoo and Live Nation Entertainment Inc",2014-07-01T00:00:00.000Z,2014-07-31T23:59:59.000Z,month,1,2014-04-29T12:29:00.000Z,2014-04-29T12:29:00.000Z,"In July will debut a new channel featuring a daily...Yahoo&#39;s claimed identity as a media company just got another boost in the world of music with a Live Nation deal.","Yahoo; Live Nation Entertainment Inc","",1,0.3913,0
D7hetQgWYbB,Company Earnings Guidance,"Earnings Guidance",2014-07-01T00:00:00.000Z,2014-09-30T23:59:59.000Z,month,1,2014-04-16T15:51:00.000Z,2014-04-16T15:51:00.000Z,"Next quarter, Yahoo is headed towards 5.7% annual bottom...And the following fiscal year Yahoo is expected to see 14.7% earnings growth.","Yahoo","",2,0,0
CFJfMGpZ2sN,BusinessTransactionText,"Business Transaction",2014-07-01T00:00:00.000Z,2014-07-31T23:59:59.000Z,month,1,2014-01-23T13:05:38.000Z,2014-01-23T13:05:38.000Z,"Mayer said she planned to visit the country in July....Netanyahu, according to a statement put out by his office, asked what he could do to increase Yahoo&#39;s investments in Israel.","Yahoo","",2,0,0
